,greV,greQ,greA,cgpa,univName
14,150.0,166.0,3.0,4.0,Quaid-i-Azam University
17,157.0,151.0,5.5,3.57,University of Central Punjab
46,155.0,167.0,4.0,3.66,Air University
64,161.0,157.0,4.0,3.1,Bahria University
203,154.0,170.0,4.0,3.38,Air University
222,162.0,164.0,5.5,3.81,COMSATS University Islamabad
385,166.0,170.0,5.0,4.0,COMSATS University Islamabad
391,165.0,162.0,5.5,3.65,Bahauddin Zakariya University
393,165.0,162.0,5.5,3.65,Bahauddin Zakariya University
395,165.0,162.0,5.5,3.65,COMSATS University Islamabad
397,165.0,162.0,5.5,3.65,University of the Punjab
398,165.0,162.0,5.5,3.65,National University of Computer and Emerging Sciences
402,157.0,161.0,4.0,3.2,National University of Modern Languages
420,169.0,166.0,4.0,3.74,NED University of Engineering and Technology
466,165.0,167.0,5.0,3.63,Aga Khan University
475,151.0,165.0,4.5,3.98,Bahauddin Zakariya University
517,163.0,160.0,4.5,3.16,National University of Sciences and Technology
565,160.0,167.0,4.0,3.74,National University of Computer and Emerging Sciences
582,143.0,142.0,0.0,2.9,Bahauddin Zakariya University
583,162.0,160.0,0.0,3.4,University of the Punjab
584,167.0,170.0,5.5,3.62,Aga Khan University
629,164.0,164.0,4.5,3.15,COMSATS University Islamabad
694,156.0,152.0,4.5,3.69,Aga Khan University
701,158.0,169.0,4.0,3.46,Aga Khan University
706,159.0,170.0,3.5,3.8,COMSATS University Islamabad
771,161.0,154.0,3.5,3.69,Bahria University
855,155.0,158.0,4.0,3.28,Air University
872,170.0,170.0,0.0,4.0,Bahauddin Zakariya University
873,170.0,170.0,0.0,4.0,Bahauddin Zakariya University
874,159.0,162.0,4.5,3.68,COMSATS University Islamabad
875,165.0,163.0,5.0,3.52,University of Central Punjab
968,148.0,168.0,3.5,3.44,National University of Modern Languages
1133,153.0,167.0,3.0,3.6,Aga Khan University
1146,152.0,169.0,3.5,3.45,Aga Khan University
1155,161.0,166.0,3.5,3.88,Aga Khan University
1156,161.0,166.0,3.5,3.88,National University of Modern Languages
1193,160.0,157.0,4.0,2.0,Bahauddin Zakariya University
1217,152.0,162.0,4.0,3.76,Bahauddin Zakariya University
1331,170.0,163.0,6.0,3.84,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
1332,153.0,145.0,3.5,3.2,University of Central Punjab
1380,158.0,170.0,4.0,8.48,Bahauddin Zakariya University
1442,163.0,163.0,5.0,3.68,COMSATS University Islamabad
1472,164.0,164.0,4.0,3.94,National University of Modern Languages
1489,162.0,160.0,5.0,3.7,University of Central Punjab
1493,158.0,161.0,4.5,3.6,COMSATS University Islamabad
1496,161.0,168.0,4.0,3.17,Aga Khan University
1529,161.0,158.0,4.0,3.1,Bahauddin Zakariya University
1533,159.0,156.0,5.0,3.76,National University of Modern Languages
1540,155.0,147.0,3.5,3.67,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
1595,170.0,167.0,4.5,3.6,Bahauddin Zakariya University
1603,159.0,158.0,5.0,3.41,Quaid-i-Azam University
1628,161.0,167.0,4.0,3.3,Aga Khan University
1641,159.0,156.0,5.5,3.12,Quaid-i-Azam University
1644,160.0,156.0,4.0,3.51,"University of Engineering and Technology, Lahore"
1664,154.0,157.0,4.5,3.62,Aga Khan University
1691,165.0,170.0,5.0,4.0,NED University of Engineering and Technology
1692,165.0,170.0,5.0,4.0,Bahauddin Zakariya University
1775,167.0,170.0,4.5,3.72,Bahauddin Zakariya University
1789,155.0,150.0,4.0,3.56,National University of Modern Languages
1822,154.0,159.0,4.0,3.12,Aga Khan University
1933,160.0,164.0,5.5,3.6,"University of Engineering and Technology, Lahore"
1935,162.0,153.0,5.0,3.75,"International Islamic University, Islamabad"
1971,170.0,169.0,6.0,4.0,Quaid-i-Azam University
2111,152.0,165.0,3.5,3.6,University of Central Punjab
2170,162.0,153.0,5.0,3.75,Bahria University
2218,158.0,165.0,5.0,3.63,Air University
2295,169.0,161.0,4.5,3.89,"University of Engineering and Technology, Lahore"
2313,162.0,169.0,4.5,3.95,National University of Computer and Emerging Sciences
2324,150.0,149.0,4.0,3.7,University of Central Punjab
2369,151.0,170.0,3.0,3.72,NED University of Engineering and Technology
2387,169.0,164.0,5.0,3.57,Bahauddin Zakariya University
2388,151.0,161.0,4.0,4.0,University of Central Punjab
2389,151.0,161.0,4.0,4.0,National University of Modern Languages
2415,160.0,148.0,4.5,3.86,University of Central Punjab
2456,166.0,152.0,5.0,4.0,Air University
2486,156.0,158.0,4.0,3.8,Bahauddin Zakariya University
2494,162.0,167.0,3.5,3.71,Air University
2550,153.0,157.0,5.5,3.9,Bahauddin Zakariya University
2552,164.0,168.0,4.0,8.0,COMSATS University Islamabad
2623,165.0,159.0,5.5,4.0,Aga Khan University
2709,152.0,141.0,3.5,3.0,Aga Khan University
2749,154.0,157.0,4.5,3.96,"University of Engineering and Technology, Lahore"
2847,150.0,156.0,4.0,3.9,Aga Khan University
2888,152.0,168.0,3.0,3.5,Air University
2889,168.0,152.0,3.0,3.5,Air University
2897,159.0,169.0,4.0,3.47,Aga Khan University
2899,159.0,170.0,4.5,3.94,COMSATS University Islamabad
2919,153.0,144.0,4.0,3.8,National University of Modern Languages
2969,157.0,170.0,4.0,3.8,Bahria University
2983,154.0,163.0,4.0,3.89,NED University of Engineering and Technology
2984,166.0,159.0,5.5,3.92,COMSATS University Islamabad
2992,157.0,162.0,4.0,3.6,University of Central Punjab
2995,157.0,162.0,4.0,3.6,Aga Khan University
3017,152.0,165.0,3.5,3.94,Air University
3019,161.0,170.0,3.5,3.91,Bahauddin Zakariya University
3037,156.0,166.0,3.5,3.67,University of Central Punjab
3093,157.0,147.0,5.5,3.7,National University of Modern Languages
3124,161.0,162.0,4.5,3.27,NED University of Engineering and Technology
3126,165.0,165.0,5.0,3.8,Air University
3171,162.0,170.0,5.0,3.95,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
3176,158.0,168.0,5.0,4.0,Bahauddin Zakariya University
3181,158.0,166.0,4.0,3.42,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
3203,155.0,169.0,3.0,3.57,Institute of Business Administration
3272,158.0,168.0,5.0,4.0,Bahauddin Zakariya University
3285,152.0,166.0,3.0,3.46,University of the Punjab
3299,165.0,165.0,4.5,3.9,National University of Sciences and Technology
3314,163.0,170.0,4.0,3.8,COMSATS University Islamabad
3326,161.0,154.0,4.6,3.67,University of Central Punjab
3337,151.0,162.0,3.5,3.08,University of Central Punjab
3339,165.0,160.0,5.0,3.76,COMSATS University Islamabad
3345,135.0,154.0,5.0,3.68,Air University
3354,158.0,165.0,3.5,3.2,COMSATS University Islamabad
3355,153.0,163.0,4.0,3.18,Bahria University
3398,157.0,168.0,5.0,4.0,Bahria University
