id,Metric marks,FSc Marks,Merit,Field,Name of Uni,City
0,927,947,0.932182,MBBS,King Edward Medical University,Lahore
1,841,889,0.846909,Software Engineering,National University of Science and Technology,Islamabad
2,780,800,0.786545,BBA,Institute of Business Administration,Karachi
3,949,950,0.945455,MBBS,Aga Khan University,Karachi
4,874,892,0.874364,BDS,Liaquat University of Medical and Health Sciences,Jamshoro
5,690,728,0.706727,Software Engineering,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Topi
6,812,833,0.811273,BBA,Lahore University of Management Sciences,Lahore
7,946,947,0.944364,MBBS,Rawalpindi Medical University,Rawalpindi
8,784,806,0.789455,BDS,Dow University of Health Sciences,Karachi
9,874,892,0.874364,Software Engineering,National University of Computer and Emerging Sciences,Lahore
10,765,788,0.770182,BBA,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Karachi
11,845,866,0.843273,MBBS,University of Health Sciences,Lahore
12,932,938,0.928727,BDS,Ziauddin University,Karachi
13,710,751,0.727091,Software Engineering,National University of Sciences and Technology,Rawalpindi
14,800,820,0.803273,BBA,Institute of Business Management,Karachi
15,955,956,0.954727,MBBS,Allama Iqbal Medical College,Lahore
16,865,888,0.864364,BDS,Sardar Begum Dental College,Peshawar
17,720,759,0.736364,Software Engineering,National University of Computer and Emerging Sciences,Islamabad
18,795,812,0.796909,BBA,Sukkur Institute of Business Administration,Sukkur
19,915,926,0.913273,MBBS,Services Institute of Medical Sciences,Lahore
20,889,901,0.883455,BDS,Baqai Medical University,Karachi
21,660,698,0.676364,Software Engineering,National University of Science and Technology,Islamabad
22,774,880,0.8172727,Software Engineering,National University,Islamabad
23,622,655,0.5709091,BBA,Lahore University,Lahore
24,916,844,0.8636364,MBBS,Aga Khan University,Karachi
25,498,632,0.4645455,BBA,Institute of Business,Karachi
26,819,810,0.7872727,BDS,Khyber Medical Univ,Peshawar
27,752,726,0.7327273,Software Engineering,NED University,Karachi
28,689,721,0.6318182,BBA,Institute of Business,Lahore
29,950,945,0.9381818,MBBS,Dow University,Karachi
30,786,701,0.7254545,BDS,Ziauddin University,Karachi
31,920,903,0.9018182,Software Engineering,FAST University,Islamabad
32,537,621,0.4990909,BBA,IBA Sukkur,Sukkur
33,850,833,0.8318182,MBBS,King Edward Medical Univ,Lahore
34,686,718,0.6309091,BDS,Liaquat Univ of Med,Jamshoro
35,921,866,0.8818182,Software Engineering,Lahore University,Lahore
36,501,598,0.4536364,BBA,Iqra University,Karachi
